date,day,day_of_the_week,month,month_text,quarter,semester,year
01/01/2005,1,Saturday,1,January,1,1,2005
02/01/2005,2,Sunday,1,January,1,1,2005
03/01/2005,3,Monday,1,January,1,1,2005
04/01/2005,4,Tuesday,1,January,1,1,2005
05/01/2005,5,Wednesday,1,January,1,1,2005
06/01/2005,6,Thursday,1,January,1,1,2005
07/01/2005,7,Friday,1,January,1,1,2005
08/01/2005,8,Saturday,1,January,1,1,2005
09/01/2005,9,Sunday,1,January,1,1,2005
10/01/2005,10,Monday,1,January,1,1,2005
11/01/2005,11,Tuesday,1,January,1,1,2005
12/01/2005,12,Wednesday,1,January,1,1,2005
13/01/2005,13,Thursday,1,January,1,1,2005
14/01/2005,14,Friday,1,January,1,1,2005
15/01/2005,15,Saturday,1,January,1,1,2005
16/01/2005,16,Sunday,1,January,1,1,2005
17/01/2005,17,Monday,1,January,1,1,2005
18/01/2005,18,Tuesday,1,January,1,1,2005
19/01/2005,19,Wednesday,1,January,1,1,2005
20/01/2005,20,Thursday,1,January,1,1,2005
21/01/2005,21,Friday,1,January,1,1,2005
22/01/2005,22,Saturday,1,January,1,1,2005
23/01/2005,23,Sunday,1,January,1,1,2005
24/01/2005,24,Monday,1,January,1,1,2005
25/01/2005,25,Tuesday,1,January,1,1,2005
26/01/2005,26,Wednesday,1,January,1,1,2005
27/01/2005,27,Thursday,1,January,1,1,2005
28/01/2005,28,Friday,1,January,1,1,2005
29/01/2005,29,Saturday,1,January,1,1,2005
30/01/2005,30,Sunday,1,January,1,1,2005
31/01/2005,31,Monday,1,January,1,1,2005
01/02/2005,1,Tuesday,2,February,1,1,2005
02/02/2005,2,Wednesday,2,February,1,1,2005
03/02/2005,3,Thursday,2,February,1,1,2005
04/02/2005,4,Friday,2,February,1,1,2005
05/02/2005,5,Saturday,2,February,1,1,2005
06/02/2005,6,Sunday,2,February,1,1,2005
07/02/2005,7,Monday,2,February,1,1,2005
08/02/2005,8,Tuesday,2,February,1,1,2005
09/02/2005,9,Wednesday,2,February,1,1,2005
10/02/2005,10,Thursday,2,February,1,1,2005
11/02/2005,11,Friday,2,February,1,1,2005
12/02/2005,12,Saturday,2,February,1,1,2005
13/02/2005,13,Sunday,2,February,1,1,2005
14/02/2005,14,Monday,2,February,1,1,2005
15/02/2005,15,Tuesday,2,February,1,1,2005
16/02/2005,16,Wednesday,2,February,1,1,2005
17/02/2005,17,Thursday,2,February,1,1,2005
18/02/2005,18,Friday,2,February,1,1,2005
19/02/2005,19,Saturday,2,February,1,1,2005
20/02/2005,20,Sunday,2,February,1,1,2005
21/02/2005,21,Monday,2,February,1,1,2005
22/02/2005,22,Tuesday,2,February,1,1,2005
23/02/2005,23,Wednesday,2,February,1,1,2005
24/02/2005,24,Thursday,2,February,1,1,2005
25/02/2005,25,Friday,2,February,1,1,2005
26/02/2005,26,Saturday,2,February,1,1,2005
27/02/2005,27,Sunday,2,February,1,1,2005
28/02/2005,28,Monday,2,February,1,1,2005
01/03/2005,1,Tuesday,3,March,1,1,2005
02/03/2005,2,Wednesday,3,March,1,1,2005
03/03/2005,3,Thursday,3,March,1,1,2005
04/03/2005,4,Friday,3,March,1,1,2005
05/03/2005,5,Saturday,3,March,1,1,2005
06/03/2005,6,Sunday,3,March,1,1,2005
07/03/2005,7,Monday,3,March,1,1,2005
08/03/2005,8,Tuesday,3,March,1,1,2005
09/03/2005,9,Wednesday,3,March,1,1,2005
10/03/2005,10,Thursday,3,March,1,1,2005
11/03/2005,11,Friday,3,March,1,1,2005
12/03/2005,12,Saturday,3,March,1,1,2005
13/03/2005,13,Sunday,3,March,1,1,2005
14/03/2005,14,Monday,3,March,1,1,2005
15/03/2005,15,Tuesday,3,March,1,1,2005
16/03/2005,16,Wednesday,3,March,1,1,2005
17/03/2005,17,Thursday,3,March,1,1,2005
18/03/2005,18,Friday,3,March,1,1,2005
19/03/2005,19,Saturday,3,March,1,1,2005
20/03/2005,20,Sunday,3,March,1,1,2005
21/03/2005,21,Monday,3,March,1,1,2005
22/03/2005,22,Tuesday,3,March,1,1,2005
