ABACTINAL,adjective
ABDUCTING,present participle and verbal noun
ABNEGATING,present participle and verbal noun
ABOMINATING,present participle and verbal noun
ABSTENTION,adjective
ACATES,noun plural
ADENOUS,adjective
ALATION,noun
ALIENATE,adjective
ALLEVIATING,present participle and verbal noun
AMBITUS,noun
AMBLYOPY,noun
AMPHIARTHROSIS,noun
AMPHIBIOTICA,noun plural
AMPHIGONIC,adjective
ANGLING,present participle and verbal noun
ANIMADVERT,verb intransitive
ANNOYFUL,adjective
ANTECEDENT,noun
ANTICATARRHAL,adjective
APOPHYGE,noun
APOSTATIZED,imperative and past participle
ARCHIBLASTULA,noun
ARCHIPELAGIC,adjective
ARENICOLITE,noun
ARENULOUS,adjective
ARMAMENTARY,noun
ARMORY,noun
ASBESTIFORM,adjective
ASCRIBED,imperative and past participle
ASPER,adjective
ASSIZER,noun
ASTUN,verb transitive
ATHELING,noun
ATTESTIVE,adjective
AUGET,noun
AURIN,noun
AUTHENTIC,noun
AUTOCRATIC,adjective
AXINOMANCY,noun
BACCHANTIC,adjective
BALLED,imperative and past participle
BALLOONED,adjective
BANSHIE,noun
BARKED,imperative and past participle
BAROMETRICALLY,adverb
BARPOST,noun
BATTOLOGY,noun
BEAUTIFIER,noun
BEDCHAIR,noun
BEGGABLE,adjective
BEGIRDLE,verb transitive
BEHOVE,verb
BEL-ACCOYLE,noun
BENZYL,noun
BESPIRT,verb transitive
BLARNEY,verb transitive
BLET,noun
BLIGHT,verb intransitive
BONDMAID,noun
BOSSED,imperative and past participle
BOTTOMLESS,adjective
BRACKY,adjective
BRAVADO,noun
BRUTALIZE,verb transitive
BUCCANEER,noun
BUCKRA,noun
BUGWORT,noun
BULRUSH,noun
BURNABLE,adjective
BUTCHERING,noun
CACHUNDE,noun
CANTILLATE,verb intransitive
CAPITULATING,present participle and verbal noun
CAPRICIOUS,adjective
CAPSULE,noun
CARD,noun
CARRY,verb transitive
CASQUE,noun
CATARRHINE,noun
CAUTIONARY,adjective
CELLA,noun
CELLULOSE,adjective
CEPHALOPOD,noun
CEPHEUS,noun
CEREBRALISM,noun
CETYLIC,adjective
CHARRED,imperative and past participle
CHARISM,noun
CHEERFULLY,adverb
CHIPPING,present participle and verbal noun
CHONDRITIS,noun
CHURCHMANLY,adjective
CIRCUMJACENT,adjective
CIRCUMNAVIGATOR,noun
CLACHAN,noun
CLAIMING,present participle and verbal noun
CLASHING,present participle and verbal noun
CLASH,noun
CLAVIGEROUS,adjective
CLEF,noun
CLUSTER,verb intransitive
CNIDA,noun
COALITE,verb transitive
CODILLA,noun
COEXISTING,present participle and verbal noun
COALTIT,noun
CONFESSARY,noun
CONTRARIOUS,adjective
CONVINCINGNESS,noun
CONVOLVING,present participle and verbal noun
COPPER,noun
COPSY,adjective
COPIED,imperative and past participle
CORDED,adjective
CORING,present participle and verbal noun
COSINAGE,noun
COSSAS,noun
COURTESAN,noun
COURTESY,verb intransitive
